district,state,health_need_score,need_indicators_available
Kangra,Himachal Pradesh,33.78,19
Dhar,Madhya Pradesh,33.77,18
Gajapati,Odisha,33.76,18
Chandauli,Uttar Pradesh,33.74,19
Chatra,Jharkhand,33.71,19
Shahjahanpur,Uttar Pradesh,33.7,22
Lakshadweep,Lakshadweep,33.69,18
Hingoli,Maharastra,33.65,22
Junagadh,Gujarat,33.62,18
Buldana,Maharastra,33.62,22
Palghar,Maharastra,33.61,19
Auraiya,Uttar Pradesh,33.61,22
Mysore,Karnataka,33.61,18
Vizianagaram,Andhra Pradesh,33.6,19
Wanaparthy,Telangana,33.59,19
Saraikela-Kharsawan,Jharkhand,33.53,22
Rudraprayag,Uttarakhand,33.53,18
Ambedkar Nagar,Uttar Pradesh,33.53,19
Peren,Nagaland,33.5,19
Kota,Rajasthan,33.48,19
Serchhip,Mizoram,33.47,19
Ganjam,Odisha,33.45,22
Mandya,Karnataka,33.44,18
Jalpaiguri,West Bengal,33.44,19
Kancheepuram,Tamil Nadu,33.42,18
Nainital,Uttarakhand,33.39,19
Gondiya,Maharastra,33.37,19
Madurai,Tamil Nadu,33.37,18
Fatehpur,Uttar Pradesh,33.3,19
Patiala,Punjab,33.27,18
Goalpara,Assam,33.22,22
Uttar Dinajpur,West Bengal,33.22,22
Kiphire,Nagaland,33.21,18
Shamli,Uttar Pradesh,33.2,18
Subarnapur,Odisha,33.2,18
Prakasam,Andhra Pradesh,33.19,19
Champawat,Uttarakhand,33.18,18
Sahibzada Ajit Singh Nagar,Punjab,33.18,18
Chennai,Tamil Nadu,33.15,18
Panipat,Haryana,33.1,22
Rae Bareli,Uttar Pradesh,33.08,19
Unnao,Uttar Pradesh,33.07,22
Tiruppur,Tamil Nadu,33.06,18
Ahmadnagar,Maharastra,33.04,22
Bongaigaon,Assam,33.02,19
Kaimur (Bhabua),Bihar,33.0,19
Haveri,Karnataka,32.99,22
Sambhal,Uttar Pradesh,32.98,22
Paschim Barddhaman,West Bengal,32.97,22
Wayanad,Kerala,32.83,19
Kolar,Karnataka,32.82,18
Chhatarpur,Madhya Pradesh,32.75,19
Gulbarga,Karnataka,32.75,22
East Godavari,Andhra Pradesh,32.75,22
East,NCT of Delhi,32.69,22
Deoria,Uttar Pradesh,32.64,19
Una,Himachal Pradesh,32.64,19
Darrang,Assam,32.61,19
Jhansi,Uttar Pradesh,32.6,19
Raipur,Chhattisgarh,32.59,18
Belgaum,Karnataka,32.58,19
Gorakhpur,Uttar Pradesh,32.51,19
Namakkal,Tamil Nadu,32.5,18
Mumbai Suburban,Maharastra,32.48,18
South Salmara Mancachar,Assam,32.45,19
Koppal,Karnataka,32.45,22
Ernakulam,Kerala,32.41,19
Rewari,Haryana,32.41,18
Latur,Maharastra,32.39,22
Anantapur,Andhra Pradesh,32.38,19
Etawah,Uttar Pradesh,32.35,22
Ramanathapuram,Tamil Nadu,32.34,18
Lucknow,Uttar Pradesh,32.34,18
Tiruchirappalli,Tamil Nadu,32.34,19
Baramula,Jammu & Kashmir,32.31,22
Jharsuguda,Odisha,32.29,18
Sahibganj,Jharkhand,32.28,19
Dhanbad,Jharkhand,32.26,22
Bijapur,Karnataka,32.25,22
Birbhum,West Bengal,32.2,22
Dharwad,Karnataka,32.13,19
Jalaun,Uttar Pradesh,32.12,18
Jhalawar,Rajasthan,32.11,19
Gwalior,Madhya Pradesh,32.1,18
Chhindwara,Madhya Pradesh,32.09,18
Kodarma,Jharkhand,32.08,22
Daman,Dadra and Nagar Haveli & Daman and Diu,32.05,19
Sheikhpura,Bihar,32.04,22
Farrukhabad,Uttar Pradesh,32.04,19
Surat,Gujarat,32.0,18
Jamui,Bihar,31.99,19
Vadodara,Gujarat,31.9,22
Mahasamund,Chhattisgarh,31.87,19
Udham Singh Nagar,Uttarakhand,31.87,19
Rampur,Uttar Pradesh,31.86,19
Chitrakoot,Uttar Pradesh,31.83,19
Nagaon,Assam,31.8,22
Saharanpur,Uttar Pradesh,31.78,22
Nagpur,Maharastra,31.77,19
South,NCT of Delhi,31.72,18
Hapur,Uttar Pradesh,31.72,19
Raichur,Karnataka,31.71,19
Hisar,Haryana,31.68,18
Koch Bihar,West Bengal,31.67,19
Thoothukkudi,Tamil Nadu,31.67,18
Patna,Bihar,31.67,22
Karnal,Haryana,31.58,19
