"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"CHROMACHEMIE LABORATORY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.0
"SWASTIK ASSETS PRIVATE LIMITED","FY 2024-25",Non-PSU,Odisha,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"ODYSSEY MOTORS PRIVATE LIMITED","FY 2024-25",Non-PSU,Odisha,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.251
"BHUSHAN TUBES PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.36
"MAG FINSERV COMPANY LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0311525
"SAINATH SALES AND SERVICES PRIVATE LIMITED","FY 2024-25",Non-PSU,Delhi,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
"SPEEDWAYS TYRE LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.03
"CITRUS PACKAGING SOLUTIONS PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.05
"SNEX TECHNOLOGY SERVICES PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02173
"CB AGROS AND SHOPPING MALLS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.0507
"PINKCITY JEWELHOUSE PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.0601997
"BLOW PACKAGING (INDIA) PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.06
"MOTHER HOSPITAL PVT LTD","FY 2024-25",Non-PSU,Kerala,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0409625
"STEER ADVISORY SERVICES PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.02
"HARMAN FINOCHEM LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Training to promote sports","Encouraging Sports",0.05
"NAVGRAHAA GEMS PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
"AGARWAL FASTNERS PVT LTD","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.1010458
"MELCO INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Senior Citizens Welfare","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.03
